,User,Tweet
3295,gowri_gowd,"@KilaFateh @INCIndia This is how people's governments will work. Knowing the problems and trying to solve them is the simple way of functioning of the government. 

Just going back to basics by @INCIndia and @RahulGandhi .

#BJP is also doing heavy research  but on ""How to create problems to People""."
3296,Abhijeetdabangg,"@RahulGandhi What #Congress has delivered:
~Right to Information
~Right To Food
~Right to Employment
~Forest Rights Act
~Right to Education
~Land Acquisition Bill

What #INC going to deliver:
~Right To Health
~Right To Minimum Income Guarantee.
~One GST

#CongressManifesto"
3297,RRajeshSood1,"It is even funnier than a comedy when a half minded gentleman #RahulGandhi challenges #PMNarendraModi for a debate, does Mr gandhi even know what a debate is, just being a part of rich and famous family does not give a right to insult anybody"
3298,gyagnesh,"Whom you are voting this #Elections2019?
#BJP #Congress @BJP4India @INCIndia @narendramodi @RahulGandhi
#LoksabhaElections2019 #RahulDealWithScamsters #CongVsNationalInterest #PappuDiwas #ModiOnceMore #Feku #TV9News #ElectionsWithTimes #IPL2019 #RRvRCB #IPL"
3299,agniishwari,@MomentsIndia @INCIndia Instead Congress should release Rahul Gandhi n his family if it wants to win the election. #ElectionsWithNews18 #LokSabhaElections2019 #CongressManifesto #PappuDiwas #WorldAutismAwarenessDay #PakistanCup
3300,AnirbanShome,"Rahul Gandhi- ""Unconditional Talks With Pakistan.""
As if you're planning to talk about Pakistani cuisine over lunch.
""To yeh tangdi murgey ka hai ya bachde ka..Oops! Galti se pooch liya..:D"" @RahulGandhi #CongressManifesto2019 #Chowkidar #LokSabhaElections2019 #"
3301,AlokPandeyUP72,"Congress President Rahul Gandhi will file his nomination from the parliamentary constituency of Wayanad in Kerala on 4th April.
#LokSabhaElections2019"
3302,satya_3d,"#GaribiParWaar
#LokSabhaElections2019 
72,000Rs. @INCIndia @RahulGandhi  apni Jeb se dene wale hai.. no additional burden on tax payers money. 
I feel Shri. Rahul' ji doesn't know the ground reality of farmers life."
3303,Raahuula,"#BJP has not achieved any of the promises made by it in 2014. So @RahulGandhi will make sure all things are achieved for trust
#cong"
3304,deepakmahato,"In #Twitter war @RahulGandhi wins over @narendramodi in the last one hour.. @ArvindKejriwal fails in popularity

Now let see who wins the #LokSabhaElection2019 #LoksabhaElections2019 
#Election2019
#BJP
#Congress 

@BJP @INCIndia"
3305,NITINMOUDGIL,"@INCIndia #BJP #MainBhiChowkidar 
Rajiv Gandhi famously said that of every Rupee spent on alleviating poverty only 16 paisa reached the poor.
It means out of proposed 72K per year; 
11.5K per Year will go to Poor Family
60.4K per Year will go to Congress.

CHoice is only one. NaMo Again"
3306,IMSHREESHAIL,"@JhaSanjay Sanjay Ji, why picture is still bhaki ? Even after ruling us for decades ?
Still very basic needs are made as poll manifesto in #CongressManifesto?
Why was all this not done in the past?
Do I think people r fools even now?
No sir @RahulGandhi @priyankagandhi 
#ModiFor2019 
#BJP"
3307,Dailyaddaa,"#LokSabhaElections2019  | Congress president Rahul Gandhi will file his nomination from  Kerala's Wayanad on April 4; sister Priyanka Gandhi Vadra will accompany  him: news agency ANI 

#ElectionsWithdailyaddaa"
3308,MallikarjunaCB,"@TimesNow @RahulGandhi These people ruled our country over 70yrs under Gandhi dynasty #rahulgandhi and they don’t  have anything to show as example inthe elections, so they r imposing lies on #ChowkidarNarendraModi to make us believe and get last chance to loot whatever left in the country."
3309,balasubra9,#Nehrugandyparivarchorhai @Swamy39 says that entire Nehru - gandi parivar is chor. CBI &amp; ED should investigate and file charge sheet against Rahul gandi in #RahulDealWithScamsters Unitech.#RahulGandhichorhai #Elections2019 #RahulGandhi
3310,VKr_Tweet,@RahulGandhi Join hands with @ArvindKejriwal to save everyone from #BJP
3311,ndtv,#LokSabhaElections2019 | Congress president Rahul Gandhi will file his nomination from Kerala's Wayanad on April 4; sister Priyanka Gandhi Vadra will accompany him: news agency ANI
3312,MUSTAFA_LUSTRE,"@TimesNow @arunjaitley @RahulGandhi is tht person if he ""Ek baar jo #RahulGandhi @INCIndia commitment kar di uske baad tow wo khud ki bhi nahi suntay"" #jailty #tadipar #BJP #RSS thts power of hs #Commitment &amp;Now ALL #Indians #Nationalist #Bharati Belive wht he says as his party whch Gave #RTI #Rt2Work"
3313,ranajig,@seemagoswami #primetime . #tvdebates . #CongressManifesto .  #BJP Narrative of the Day  : Mahatma Gandhi ji committed suicide.... Godse went to give him CPR.....
3314,MUSTAFA_LUSTRE,"@TheQuint Difference betwen #BJP #RSS #Tadipar &amp; @INCIndia @RahulGandhi is tht #CongressManifesto2019 is nt a #JumlaofBJP but its a ""#CongressWillDeliver"" &amp; has #Promised it wil B""22 lakh govrnmnt jobs by March &amp; 100 more days of assured jobs under #MNREGA #Farmers default NO MORE Crime"
3315,ranga_swamy,"Even Narendra Modi Can't Save This Congress, Self goal by Fake Gandhi

 #CongressManifesto #LokSabhaElections2019"
3316,KSHiremath_,"@ChowkidarChor_h @BJP4Karnataka @RahulGandhi No I think you are mistaken, after #LokSabhaElections2019 Rahul will become unemployed forever🤣🤣🤣😂😂 just wait and watch..

Assuming Rahul Gandhi's condition after #LokSabhaElections2019 🤣🤣🤣😂😂😂😂

No works to do after #LokSabhaElections2019
🤣🤣🤣😂..."
3317,terijaneman,"@rahulkanwal @IndiaToday Sir,
In case of Rafale, what rahul did is, whenever someone saya chikitsa whether it is BJP or Congres or Others, rafale popup automatically to people mind.
Chokidar= # Rafale scam, but rafale is always there.
#CongressManifesto 
#LokSabhaElections2019"
3318,SudeshS70332907,"@INCKarnataka - Rahul Gandhi
- Mamata Banerjee
- Akhilesh Yadav
- Mayawati
- M K Stalin
- Sharad Pawar
- Farooq Abdullah
- H D Devegowda

All are fighting #LokSabhaElections2019 for the future of their Families.

Only PM @narendramodi is fighting for 130 crore Indians.

#MainBhiChowkidar"
3319,vazhapadi,"Yes @arunjaitley ji our fight against terrorist and terrorism didn't start after 26/11 , it started with assassination of Mahatma Gandhi ji on 30/01/1948 #CongressManifesto2019 #RahulGandhi"
3320,AdityaPatel0407,"#RahulGandhi If the watchman is a thief with the escape of Mallya in the BJP state , then what is the Gandhi family is a terrorist after the escape of underworld don Daw००d in Congress rulg ? @RahulGandhi"
3321,Prabhat_Raj89,@RahulGandhi @priyankagandhi @INCIndia If this is the #CongressManifesto then we need to pledge and request to nation to never ever vote for you.Nehru &amp; Gandhi ji didn't make congress of Anti national agenda. #antinationalcongress  #CongressAgainstIndia  #LokSabhaElections2019
3322,newsgodown,Shiromani Akali Dal MP Prem Singh Chandumajra said that Indira Gandhi gave slogan for poverty reduction. But the work to remove the poor from this country was started. So can not be believed on #CongressManifesto #lokSabhaElections2019
3323,awasthis,"#RahulGandhi leaves no chances to attack #PMModi. While releasing #CongressManifesto he reiterates “Chowkidar Chor Hai” jibe and also attacks by saying ""South feels hostility from Narendra Modi"": Rahul Gandhi's #Wayanad retort #LokSabhaElections2019⁠ ⁠"
3324,RSKhatri2,"@aajtak #RahulGandhi-You promise of 12000-PM to unemployed then what is left next for jobs in Gram Panchayats or any other Field, would any one like to work who gets  allowance of 12000- without doing any Labour and where from you will bring So Much Money ,MATLAB Neta ho to Rahul JaisaHo"
3325,SukanthBS,"There are 2 kind of people 
1) who give vote to #BJP by seeing @narendramodi 

2) who give vote to #BJP by seeing @RahulGandhi 😂😂

#Truth #2019Elections"
3326,Psych0Sarcastic,"@drshamamohd @RahulGandhi Modi is too big a person for Rahul, Shehzad is a from his party, when will Rahul accept his challenge?

Rahul can hide from a debate, but he won't be able to hide from the wrath of voters in #LokSabhaElections2019"
3327,shaleenseth,"@BalakrishnanR Nicely summarized 60 years of congress rule
on the contrary, the sad state of politics has not left any space for an opposition - #INC
in 70 years it has rather become a regional party - especially under @RahulGandhi 's presidency"
3328,nallaganesh,"@Ethirajans @INCIndia ... heights of bluffing ... on second thoughts, I guess NEET will scrapped; and renamed as Rajiv Gandhi NEET 😀😀😀

#LoksabhaElections2019 
#CongressManifesto"
3329,raj_sanghvi2,"- Rahul Gandhi
- Mamata Banerjee
- Akhilesh Yadav
- Mayawati
- M K Stalin
- Sharad Pawar
- Farooq Abdullah
- H D Devegowda

All are fighting #LokSabhaElections2019 for the future of their Families.

Only PM @narendramodi is fighting for 130 crore Indians.

#MainBhiChowkidar"
3330,iamkaranbachani,"@ganeshmpandey @INCIndia They were cheap, they r cheap, and they will be always cheap. Dnt frgt that gandhi fmly thrown out their women and childer.. #LokSabhaElections2019 #ModiHaiToMumkinHai #NamoAgain"
3331,RReshme48,"@INCIndia Can you upload a video in which Rahul Gandhi Speech about a 5 ideas of congress Party
#LokSabhaElections2019 
#CongressManifesto2019"
3332,Raj_Dutta,"@RahulGandhi why NOT from #Wayanad?

&gt; constituency carved in 2009 was bagged both times by Late MI Srinivasa of @INCIndia 

&gt; most importantly, #BJP is not even contesting from this seat  

#LokSabhaElection2019"
3333,Josa_in,"Why Wayanad…? Rahul Gandhi's emotional connect to Kashi of South

#LokSabhaElections2019
 https://www.mathrubhumi.comhttp://english.mathrubhumi.com/election/2019/loksabha-election/kerala/why-wayanad-rahul-s-emotional-connect-to-kashi-of-south--1.3696439"
3334,Bharat_ki_beti_,The biggest burden on India is not poverty..it is not overpopulation..it is not social evils..it is RAHUL GANDHI 🙄🙄 #RahulGandhiSucks #RahulDealWithScamsters #RahulGandhi @INCIndia @RahulGandhi
3335,atulsinghjha,"Rahul Gandhi's promises hold no credibility, and his claim that he only  promises what he can deliver is as baffling as his speeches. There is no reason to believe he or his party can deliver #CongressManifesto
#LokSabhaElections2019"
3336,Varun_etah,"Will #rahul be able to check #NarendraModi govt in 2019 #LokSabhaElections2019 through his fictious manifesto ?
#LokSabhaElections2019 
#CongressManifesto 
@RahulGandhi @INCIndia @narendramodi @BJP4India @SirPareshRawal @sambitswaraj"
3337,wulfmansam,@RahulGandhi didnt know you had terrorists and anti-nationals as your main voter base. #AFSPA #PSA #Bjp #NarendraModi
3338,activistshiv,"@Swamy39 sir would u support @dhruv_rathee and @abhisar_sharma for their anti-corruption works against the ruling @BJP4India goverment &amp; @narendramodi??

#LokSabhaElections2019 
#BJP  @RahulGandhi @_YogendraYadav @ravishndtv"
3339,drshamamohd,"PM #Modi has once again been challenged to a debate by @RahulGandhi ji.

In 5 years, PM Modi hasn't had the courage to agree to face Rahul ji.

Modiji can hide from a debate, but he won't be able to hide from the wrath of voters in #LokSabhaElections2019

#CongressManifesto"
3340,shovik,"If @RahulGandhi  says that the narrative is set and is all about ""nyay"" should the manifesto not detail out how the scheme will be structured and funded ? And how is the scheme a ""wealth creation"" scheme as is being touted by media outlets ? #INC"
3341,pratikmukane,"Congress defeats Narendra Modi's narrative for #Elections. While PM talks about Pakistan, nationalism, hindutva, chowkidar, @RahulGandhi talks about jobs, employment, farmers, development 

#LoksabhaElection2019 #NarendraModi #CongressManifesto #RahulGandhi"
3342,ShaktiShekhar,"#LokSabhaElections2019 is all about 'ar'. BJP says, ""Abki baar, phir Modi sarkar"", ""Ek baar phir, Modi sarkar"", ""#MainBhiChowkidar"", ""Hum sab #Chowkidar"".
Congress's slogan is: ""Garibi par war, 72 hazar"", as spelt out by Rahul Gandhi at #CongressManifesto release.
2019 Manifesto"
3343,ShaktiShekhar,"Congress's slogan, which Rahul Gandhi spelt out during 2019 Manifesto release, is ""Garibi par war, 72 hazaar.""
#CongressManifesto #LokSabhaElections2019"
3344,pratikmukane,"Rahul Gandhi challenges Modi to debate on issues such as corruption and national security, says PM is scared

#Congress #RahulGandhi #LokSabha #CongressManifesto"
3345,NewsHtn,Rahul Gandhi on contesting from Wayanad for #LokSabhaElections2019: They feel that they are not being included in the decisions of this country. So I wanted to send a message to south India that we are with you &amp; we are standing with you. That is why I am standing from Kerala
3346,balasubra9,"Don't forget 2G, Bofors gun fraud,  Augusta helicopter scam, NPA bank scams , coal block scam, CWG scam etc etc of congress UPA  era. Main beneficiary Sonia gandi &amp; Rahul gandi, making them  richer than Queen Elizabeth II. Coterie also benefitted #Elections2019 #RahulGandhi"
3347,VamsiChandran,#NEET wil be abolished at states which oppose the exam. This promise is enough for UPA to sweep TN. 1000's of Anitha's studying in govt schools can confidently aim now to become a doctor. Rahul is there to help us. #CongressManifesto #LokSabhaElections2019
3348,ShaktiShekhar,"At the #CongressManifesto release function a while back, Rahul Gandhi said, ""We all are Hindus."" Is he towing the RSS line that all Indians are Hindus?
#LokSabhaElections2019 2019 Manifesto"
3349,abhi_sood25,"Congress will shift Education from the concurrent list to State list. First time In history, Congress(National party) giving more important to state autonomy. Welcome, move by Rahul Gandhi. #CongressElectionManifesto #CongressManifesto #INC #RahulGandhi"
3350,RST986,"U all open Ur filthiest s*** against PM @RahulGandhi @INCIndia @INCIndiaLive become disrespectful to highest chair &amp; abusing with personal attacks,shameless, what's Ur personal contribution to society @RahulGandhi.Give respect to get but U r uncultured. #BJP #BJP4India #PMModi"
3351,INCPuducherry,"@RahulGandhi speaks about Education &amp; Healthcare. Says, 'For #Education, @INCIndia will allocate 6% of our total budget which has been reduced by the Modi govt.' 

#CongressManifesto #LokSabhaElections2019"
3352,PSamratSakal,"Most impressive answers by @RahulGandhi today. He is firm on setting up his own narrative of this election and not falling prey to BJP' criticism. #NYAY will be game changer of #LokSabhaElections2019

#manifesto2019"
3353,Dailyaddaa,"""Open to constructive alliances, we are very flexible on the issue"": Rahul Gandhi

#CongressManifesto #LokSabhaElections2019"
3354,chatteejees,"@ANI Couldn't understand why Rahul Gandhi's #Congress always mocked Indian's as ""Garibi"" while himself is billionaire, his Momma within 10th number of richest woman in World !

Why Rahul Gandhi insulting Indians ?
#CongressManifesto #LokSabhaElections2019"
3355,Rohitpal2304,@RahulGandhi if you give 72000 per year to the poor one then tell me  where i get the worker who works  in my farm ?  Dont you think it will rise the price of every product ???#BJP #Sambitpatra #BJPMission2019 #PMO
3356,ndtv,"""Everyone is Hindu but the country needs jobs, businesses, women's security. Challenge PM Modi to debate with me on national security, unemployment"": Rahul Gandhi

#CongressManifesto #LokSabhaElections2019"
3357,deepahere1807,Rahul reply to why he is contesting from South..😍😍😍😘😘 #RahulForYoungIndia #RahulGandhi #votefordmk
3358,ndtv,"""Narrative can't shift. Unemployment is the key issue"": Rahul Gandhi

#ElectionsWithNDTV #LokSabhaElections2019"
3359,IamMadhurendra,@INCIndia manifesto speech by @RahulGandhi is absolutely trash. Every second line he talks about PM Modi. There is no roadmap for Nyay &amp; other expensive promises. From where will the money come?#CongManifesto #2019Elections #RahulGandhi
3360,ndtv,"""BJP said MNREGA was not possible. May be it was not possible for them, Congress did it"": Rahul Gandhi

#ElectionsWithNDTV #LokSabhaElections2019"
3361,PTKR_10,"""If a farmer is unable to repay his loan, it will be a civil offence and not a criminal offence"": Rahul Gandhi on Congress manifesto 
#LokSabhaElections2019
#CongressManifesto"
3362,ndtv,"""Narrative has been set - it is #NYAY. Congress can give Rs 72, 000 per year to the poor of the country:"" Rahul Gandhi 

#ElectionsWithNDTV #LokSabhaElections2019"
3363,goel_udit,"PM Modi lied to the nation over 2 crore jobs to the youth - @RahulGandhi at INC manifesto release for #LokSabhaElections2019 .
#CongressManifesto @INCIndia"
3364,A2D2_,"MNREGA in 2009 helped in Indian's dramatic, the same logic can be applied for #NYAY. Economy is stuck after Modi ji's demonetization, GST, this will jump start the economy, says @RahulGandhi #CongressManifesto2019 #LokSabhaElections2019"
3365,gmjecks,"@RahulGandhi says #JaiHind in his speech is the best thing I have appreciate efforts of @narendramodi Ji.

See #India what #Modi has done in such a small tenure of @BJP4India.

#ModiHaiTohMumkinHai #ModiHaiToMumkinHai #IndiaSaysNamoAgain #LokSabhaElections2019 #IndiaElects"
3366,ndtv,"""Economy is jammed, we will have to jump start it"": Rahul Gandhi

#ElectionsWithNDTV #LokSabhaElections2019"
3367,Dailyaddaa,"""6 per cent of the GDP will be allotted for the education sector"": Rahul Gandhi

#ElectionsWithdailyaddaa #LokSabhaElections2019"
3368,NewsHtn,"Rahul Gandhi at manifesto release: Manifesto does not have to be in closed rooms. I did not want anything in our manifesto to be a lie. We have been hearing a number of lies. Everything in the manifesto has to be truthful
 #LokSabhaElections2019"
3369,Dailyaddaa,"""For three years youth of India will not have to take any permission for starting business"": Rahul Gandhi

#ElectionsWithdailyaddaa #LokSabhaElections2019"
3370,ndtv,"""6 per cent of the GDP will be allotted for the education sector"": Rahul Gandhi

#ElectionsWithNDTV #LokSabhaElections2019"
3371,TheFederal_in,"22 lakh jobs will be given by 2020, 10 lakh youths would be given jobs in Gram Panchayats, In three years, no permission would be required for starting a business, says @RahulGandhi @inc #INC #congressmanifesto2019"
3372,politicalbaaba,Rahul releases #Congressmanifesto2019 for #LokSabhaElections2019. Even in 2014 it released manifesto before BJP. BJP released it on day of voting for 1st phase &amp; still won. Manifesto promises played key role in INC victory in 3 states.Will they influence results positively again?
3373,just_anuja,"We propose that non-payment of farmers’ dues should not be a criminal offence, it should be treated as a civil offence: Congress president Rahul Gandhi #LokSabhaElections2019 #CongressManifesto2019"
3374,imMonika__,@ndtv @RahulGandhi be like : Who will take the pain of thinking something new and out of the box.Modi ji wala hi chipka do 😂😂 @narendramodi  #LokSabhaElections2019 #NaMoAgain #MainBhiChowkidar
3375,just_anuja,"On the lines of Railways Budget, we propose a Kisaan Budget so farmers should know what is being offered to them: Congress president Rahul Gandhi #LokSabhaElections2019"
3376,ndtv,"""For three years youth of India will not have to take any permission for starting business"": Rahul Gandhi

#ElectionsWithNDTV #LokSabhaElections2019"
3377,TheFederal_in,"When we started this process a year back, I gave two instructions: It shouldn't be made in closed rooms. It should reflect the wishes of the people
and it has to be truthful, says @RahulGandhi #INC #LokSabhaElections2019 #thefederalnews @INCIndia"
3378,ndtv,"""Manmohan Singh Ji gave his expertise and vetted it, Antony Ji lent his experience and Sonia Gandhi Ji gave her opinion on the manifesto"": Rahul Gandhi 

#ElectionsWithNDTV #LokSabhaElections2019"
3379,just_anuja,"There are five main themes of this manifesto. First is NYAY,” Congress president Rahul Gandhi referring to universal basic scheme proposed by the Congress party. Coins slogan - “gareebi par vaaar, bahatar hazaar” (72,000) #LokSabhaElections2019"
3380,Dailyaddaa,"""Manifesto should reflect the wishes of the people of India"": Rahul Gandhi

#ElectionsWithdailyaddaa #LokSabhaElections2019"
3381,Priyanshi11G,"""The manifesto should not be made in a closed room, but should be a Manifesto from a common people and should not be a lie."" : Rahul Gandhi, Congress.
#Congress #2019Elections #LokSabhaElections2019 #LokSabhaElection2019 #LokSabha2019 @INCIndia @INCIndia @RahulGandhi"
3382,ndtv,"""Manifesto should reflect the wishes of the people of India"": Rahul Gandhi

#ElectionsWithNDTV #LokSabhaElections2019"
3383,Priyanshi11G,"Manmohan Singh, Rahul Gandhi and Sonia Gandhi to deliver their manifesto for the Loksabha Election 2019.
#LokSabhaElections2019 #LokSabhaElection2019 #LokSabha2019 #Congress 
@RahulGandhi @priyankagandhi @INCIndia @INCIndiaLive"
3384,YashwanthPNaik,"@Tejasvi_Surya Gandhi believed in taking responsibility for incidents like riots but Modi has refused to accept responsibility for Godhra riots
#loksabhaelections2019 #chowkidaarnahijawabdarchahiye"
3385,MightyIndian96,"Congress seems to have shot itself in the foot by fielding @RahulGandhi in the Muslim majority #Wayanad constituency in Kerala.
#BJP can kick back &amp; relax as the allies, #Congress &amp; #LeftFront fight it out in the God's own country!
#ModiAgain 💪🏼🇮🇳"
3386,SinhaVikaz1,"@spendurti @muglikar_ @Patriot18074824 @RahulGandhi DK bose, exactly, exactly, this is the exact same article and graph I shared, #jhootiye, look at the green line u dumb ass, growth is same in UPA years FY10-11 as now, after global recession, #BJPFoolBanaya #BJP"
3387,neoviky,"@GauravPandhi Of course Rahul Gandhi, the way he articulates his party's past work on development and women empowerment, and his party future plans for Jobs and Growth...  No confusion about this... Rahul Gandhi it is! The future of India!

#Modi 
#RahulGandhi"
3388,Raj111188,@sardesairajdeep @parthpunter People who don't like Modi always support Rahul because he is fighting election against Modi. Even they know that Rahul doesn't deserves to be the PM.They support Rahul because they want Modi to fail. Rahul is nothing for them except an option. They don't love him. #BJP #Modi
3389,Yasir_bangalore,"@MLAYashomatiT @RahulGandhi @INCIndia @BJP4India @narendramodi has nothing to offer other than communalism, 
where is can is SabkaSaath, Sabka Vikas?
#BJP is Back to square one.

#ModiMadeDisaster
#RahulForBehtarBharat

@INCKarnataka
@INCIndia @RahulGandhi"
3390,masala_chaii,"Sonia gandhi campaigning??

#LokSabhaElections2019"
3391,gops_inc,"Throwing ""Main Bhi Chowkidar"" slogan in the air, Modi had unknowingly thrown an opportunity before Rahul Gandhi and to grill the #Chowkidar 
#LokSabhaElections2019"
3392,gops_inc,"The biggest strength of @RahulGandhi that makes him a better leader than Narendra Modi is his ability to listen to the people.
#LokSabhaElections2019"
3393,SoganiVikash,"Nice lines seen on a banner in Bangalore.. I want my India to be MODIfied!

Agar majburi ka naam Mahatma Gandhi hai to.. Majbuti ka naam Narendra Modi hai

Modi for vision.. Rahul for division.. All others for Televisions!! 😀 😛
please share #BJP #AbkiBaarPhirModiSarkar"
3394,ttganesheee,"I think @RahulGandhi helping @BJP4Keralam to demolish @cpimspeak from india. That's why he is going to contest in Keralam vayakadu.

|#tamilatheist|#AIADMK| #LokSabhaElections2019| #Vote4Twoleaves|#Elections2019|#AIADMKMegaAlliance|#BJP|#PMK|#DMDK|#TMC|#PT|"
3395,RefractConsult1,"Do you think Rahul Gandhi's decision of contesting LS elections from Kerala reflects his fear of losing in Amethi?
#RahulWayanadDebate #LokSabhaElections2019 #LokSabhaElection2019 #Elecciones2019EC #RahulWayanadEscape #amethiwithrahul #BJP #WayanadElections2019 #Chowkidars"
3396,komalmaniar92,@narendramodi @RahulGandhi @priyankagandhi @ArvindKejriwal @MamtaBanarjee #BJP #Congress STOP with the #HatePolitics ! India is getting sick and tired of hearing statements full of hatred and anger being used as a campaign strategy. Stop playing with people's emotions! @BBCIndia
3397,sabusijo,"#LokSabhaElections2019 with a Rahul vs Modi narrative, it's hard for BJP to open account in Kerala..@RahulGandhi will have more impact in southern states thus getting maximum seats from this belt!"
3398,debasishbgohain,"@RenukaJain6 @RahulGandhi @narendramodi Guys, voting for INC+ is like doing harakiri/jauhar for no good reason. Don't do that.

Vote for BJP.  Vote for #NarendraModi #PhirEkBaarModiSarkar"
3399,worshipneo,@MajorPoonia @RahulGandhi This separatism is core of inc people #LokSabhaElections2019
3400,bansivikram,"@JhaSanjay @INCIndia @RahulGandhi @rssurjewala #LokSabhaElections2019 
#ElectionCommission is deaf and dumb when it comes to questioning BJP. A chowkidar when it is about Congress.....
These are not fair elections."
3401,Govinda63106467,"@RituRathaur @_sabanaqvi @INCIndia commited a blunder by . making @RahulGandhi contest from Wayanad,now its out in the open that they are a Muslim party. Sensible Hindus will never vote for them again

#BJP #BJPWinning #CongressMuktBharat @BJP4India @BJP4TamilNadu @BJP4Karnataka @BJP4Keralam @BJP4Andhra"
3402,ShaktiShekhar,"Will Rahul Gandhi, who proudly claims to be a Shiv-bhakt, visit temples in Wayanad &amp; flaunt his janeu as he did in Gujarat? #JustAsking 
#LokSabhaElections2019"
3403,DarshuBhatia,@OpIndia_com So by saying this you are also sailing on the same boat. #BJP should stop talking about this and field a suitable candidate to counter @RahulGandhi . This majority/minority rethoric is not going to help build a secular image.
3404,sunilka1,"@TimesNow @narendramodi @RahulGandhi is contesting from #India &amp; not using #pakistan and brave #IndianArmy for publicity like #modi &amp; #bjp #cheapPollitics
@AudaciousQuest_ @INCIndia @priyankagandhi @JhaSanjay"
3405,kchari2,"#LoksabhaElections2019 250 MP seats, BJP find difficult to get even 50 in South/ East India. The real fight is in 293 MP seats between Cong/ BJP/BSP/SP. West will be distributed evenly to Cong/ BJP. North will support BSP/SP/BJP/ Cong. North East BJP  win. Rahul support Modi."
3406,cheeku75,"@SudheenKulkarni @RahulGandhi It really amuses me, your tweets and your thought process! Can anyone get so low? #ModiAgain #BJP"
3407,SShankaraS,"9. Improving the value of Indian currency
10. 100smart cities

How many promises have been full filled by him?

Keep sharing until he's answers...

#LokSabhaElections2019 #Narendramodi #BJP #RahulGandhi #congress 
@BJP4India @BJP4Karnataka @INCIndia @INCKarnataka @RahulGandhi"
3408,DaymaKalpesh,"@htTweets @NASA Tell nasa that, Rahul gandhi will be free after May 2019. ISRO had a spacecraft ready for him. He'll be collecting all and will gift it to nasa.
#LokSabhaElections2019
#MainBhiChowkidar"
3409,SinhaVikaz1,"@spendurti @muglikar_ @Patriot18074824 @RahulGandhi Nothing special DK Bose,  UPA also had years with such levels of growing tax collect #JHOOTIYE #BJP"
3410,SinhaVikaz1,"@spendurti @muglikar_ @Patriot18074824 @RahulGandhi Thanks so much, that's good baby, then fight on VIKAS and not on Hindu Muslim Sikh Christian #BJP why Hindu temple all day"
3411,parvezhayat1758,"#ModiMatBanao #RahulGandhi #AhmadPatel , plz see Mr Gandhi your well wishers’ campaign is far ahead and a big hit than your social media war room , they can’t create this ideational war with this success you ask AP  I guess it is under his astute guidance n patronage"
3412,bhoovi,"People from Wayanad should defeat Rahul Gandhi. In a LS election, a person who is not connected with the people there, not belonging to the region, doesn't know/speak their language, what sort of mockery is this. #LoksabhaElections2019"
3413,harishkumar_IND,@MajorPoonia @RahulGandhi 2019 #Modisarkar must and should delete the Art 35. And 370D. J&amp;K is part of #India Union. Mr. #OmarAbdullah is not belongs to india. He was #POK spokesperson #RahulGandhi Why you not have dare to oppose the mr #OmarAbdullah #OmarWantsKashmirPM #ModiOnceMore #BJP #Hyderabad
3414,ttkrishnan,@rajeev_mp @RahulGandhi @OmarAbdullah How come no raids on #BJP or their allies leaders/partymen. Do you expect people to think they are all squeaky clean? These raids are meant to ensure that largesse distribution is one-sided
3415,imVaquar,"@rssurjewala @Pawankhera @priyankac19 
If @RahulGandhi really wants to defeat #BJP, he should contest from #Rajasthan or #Gujarat where #Congress doesn't have a single MP. 
#LokSabhaElections2019 #CongressWantsBJP"
3416,akashlinux,@PritishNandy So in short you want everyone to vote @INCIndia where again the dynast @RahulGandhi would loot India.And regard with honest if you would be fairly honest and critical to #Bjp it's OK but how you can promote to waste anybody's vote on @RahulGandhi who doesn't even run any district
3417,Syd_Hussain_ali,"#RahulGandhi NYAY Yojana , Exemptions for StartUps , Women’s Reservation in Legislature , Filling up Government Vacancies , Doing away with archaic laws , Smart City Management, Environment Protection.

#NarendraModi Hindu - Muslim, I, Me, Myself vs. Rahul , Hyper Nationalism."
3418,HERCULE69605387,"PM MODI: What's ur favourate cartoon?????
TRUMP: Doraemon &amp; Sinchan!!!! &amp; urs???
PM MODI: Rahul Gandi.😝😝😝😝

#politics #pappu #soniagoback #BJP #CongressMuktBharat"
3419,ciperon,"Today Morning I Got An SMS

All Of You Check Your Account Balance, #RahulGandhi Has Transferred Rs.72000/- 

April Fools Day #Vote4Fools Rahul Gandhi"
3420,pkm1999,"@SudheenKulkarni @RahulGandhi All decisions / resolutions  of @INCIndia  President are subject to TMC Supremo's approval ....  If #Congress gets &lt; 200 Seats , TMC Chairperson will call the shots in the Government ....      @LambaAlka   @sujataanandan   #BJP"
3421,ShujathAliSufi,"Another act of double standards by Narendra Modi was exposed today, when he said that the world is a family, if yes then why his government is bent up on to remove certain citizens from North East &amp; Assam.

#NarendraModi
#DoubleStandard

@INCIndia
@RahulGandhi 
@GauravGogoiAsm"
3422,AbhayRawal,@RahulGandhi Happy Rahul Day @INCIndia @sherryontopp. Nobody wants job from you. We have our best team to provide everything @BJP4India #LoksabhaElections2019
3423,mhaiderc,"@inquestioner @RahulGandhi Spot the difference! 
#RahulGandhi speaks of 6% GDP spending on education, NYAY scheme for poor, 20L jobs by March 2020.
#Modi is talking about 'Congress disrespected Hindus', SARAB, Pakistan and selling T-shirts, marketing movies. 

BE WISE, BE AWAKE!"
